"Frage,""Antwort"""
"Verschmelzung von zwei Dateien,""Merge"""
"Wenn man ein neues Verzeichnis in git haben möchte,""mkdir"""
"Befehl zum Anlegen einer Datei in git,""echo"""
"Ein gespeicherter Zwischenstand,""Commit"""
"Früherer in Git: ""Master"",Main"""
"Mit git ? wechselt man zu einem anderen Branch,""checkout"""
"Fehler in einem Code beheben,""Bugfix"""
"Befehl: Wer hat welchen Commit gemacht,""blame"""
"Modell zu einer nicht agilen Softwareentwicklung,""Wasserfall"""
"Das Vorgehen bei agiler Softwareentwicklung,""Iterativ"""
"Anderes Wort fuer ""Iteration"",Sprint"""
"Der Product ? ist verantwortlich fuer den Product Backlog,""Owner"""
"Der Scrum ? sorgt dafuer das Scrum richtig durchgesetzt wird,""Master"""
"Die taegliche Besprechung in Scrum ""Daily ?"",Standup"""
"Liste von Dingen um das Produkt zu verbessern ""Product ?"",""Backlog"""
"Idee von Kent Beck ""User ?"",Stories"""
"Visualisierung und Beseitigung von Engpaessen ist die Idee von ?,""Kanban"""
"Eine statische Analyse des Quellcodes um Probleme zu entdecken,""Linting"""
"Aktuelles Arbeitsverzeichnis,""Working Dierctory"""
"Letztes Meeting im Sprint ""Sprint ?"",Retrospective"""
